,planting_group,Generation,pot_number,growth_chamber,shelf,Treatment_G2,Treatment_G1,Treatment_G1G2,parent,pods,shoots,total_aboveground,roots,pod_count,seed_count,A,gsw
1,1,G2,2,GC1,top,Drought,Drought,Drought_Drought,D15,23.6,10.6,34.2,1.6,10,32,8.88465459,0.096126877
3,1,G2,10,GC1,top,Control,Drought,Drought_Control,D14,21.3,8.7,30,4.5,8,33,14.9070828,0.161108975
4,1,G2,13,GC1,top,Control,Drought,Drought_Control,D15,22.1,7.6,29.7,3.2,11,33,11.6075698,0.12393929
9,1,G2,19,GC1,top,Control,Control,Control_Control,C13,17.7,9.3,27,4.4,12,30,14.4330647,0.181450451
10,1,G2,20,GC1,top,Drought,Drought,Drought_Drought,D7,17.3,7,24.3,4.2,7,21,12.4680918,0.083363395
12,1,G2,25,GC1,bottom,Drought,Drought,Drought_Drought,D9,21.3,8.3,29.6,8.7,10,32,12.3448792,0.084730294
14,1,G2,28,GC1,bottom,Drought,Drought,Drought_Drought,D8,22.7,10.7,33.4,5.2,8,32,12.7202282,0.119707594
19,1,G2,37,GC1,bottom,Drought,Control,Control_Drought,C10,21.6,7.7,29.3,6.7,8,31,11.8878356,0.093151361
21,1,G2,41,GC1,bottom,Control,Control,Control_Control,C11,18.3,11.1,29.4,7.1,11,25,13.1577272,0.166324991
24,1,G2,48,GC2,top,Drought,Control,Control_Drought,C6,6.9,6.2,13.1,9.3,18,37,10.7543159,0.065253201
25,1,G2,49,GC2,top,Control,Drought,Drought_Control,D7,15.5,7.3,22.8,9.8,13,26,14.4237056,0.18076502
27,1,G2,52,GC2,top,Drought,Drought,Drought_Drought,D14,10.7,6.4,17.1,4.5,13,32,7.87579394,0.054974358
29,1,G2,56,GC2,top,Control,Control,Control_Control,C6,12.1,11.2,23.3,5.1,11,26,14.0654639,0.155124631
31,1,G2,59,GC2,top,Drought,Control,Control_Drought,C11,14.2,5.8,20,3.2,14,42,9.58944672,0.071442252
33,1,G2,63,GC2,top,Control,Drought,Drought_Control,D9,9.6,9.7,19.3,4.8,10,26,14.9501713,0.136499789
36,1,G2,67,GC2,top,Drought,Control,Control_Drought,C13,10.5,8.6,19.1,3,11,19,8.58461359,0.062361214
37,1,G2,68,GC2,bottom,Control,Drought,Drought_Control,D8,15.8,6.7,22.5,1.8,13,30,13.8159158,0.228272245
40,1,G2,79,GC2,bottom,Control,Control,Control_Control,C2,18.5,6.3,24.8,1.02,8,30,16.3846166,0.159651221
41,1,G2,84,GC2,bottom,Control,Control,Control_Control,C10,14.5,6.5,21,2.85,8,21,12.0641765,0.141975792
46,2,G2,95,GC1,top,Drought,Control,Control_Drought,C12,7.75,3.59,11.34,3.23,8,19,19.0139114,0.260060446
52,2,G2,105,GC1,top,Control,Control,Control_Control,C4,8.18,6.63,14.81,1.18,11,26,12.68525142,0.258450738
55,2,G2,111,GC1,top,Drought,Control,Control_Drought,C5,3.7,5.83,9.53,1.93,11,30,20.35482271,0.273004615
56,2,G2,113,GC1,bottom,Control,Drought,Drought_Control,D1B,6.55,3.96,10.51,3,9,33,13.83815489,0.225081792
59,2,G2,117,GC1,bottom,Drought,Drought,Drought_Drought,D2B,4.82,6.26,11.08,2.67,7,17,12.98626774,0.204473244
61,2,G2,120,GC1,bottom,Control,Drought,Drought_Control,D2B,7.14,3.99,11.13,1.23,8,26,16.26739229,0.316459047
65,2,G2,130,GC1,bottom,Control,Drought,Drought_Control,D6,3.19,3.63,6.82,0.94,7,15,16.41564784,0.281859774
66,2,G2,132,GC1,bottom,Drought,Control,Control_Drought,C4,5.02,4.81,9.83,2.59,9,21,6.661023264,0.219035647
70,2,G2,138,GC2,bottom,Drought,Drought,Drought_Drought,D6,2.81,3.56,6.37,3.19,7,17,7.422773992,0.051932283
