,planting_group,Generation,pot_number,growth_chamber,shelf,Treatment_G2,Treatment_G1,Treatment_G1G2,parent,pods,shoots,total_aboveground,roots,pod_count,seed_count,A,gsw
71,2,G2,140,GC2,bottom,Drought,Drought,Drought_Drought,D1B,10.93,3.33,14.26,3.59,7,22,8.630555826,0.067845223
72,2,G2,142,GC2,bottom,Control,Control,Control_Control,C12,10.04,4.94,14.98,1.81,7,9,5.889474126,0.104585706
73,2,G2,143,GC2,bottom,Control,Control,Control_Control,C5,5.95,5.64,11.59,4.37,12,24,13.515161,0.148208608
76,3,G2,154,GC1,top,Drought,Drought,Drought_Drought,D10,9.39,7.63,17.02,5.76,11,34,18.06384926,0.386405443
77,3,G2,155,GC1,top,Control,Drought,Drought_Control,D5,8.45,8.67,17.12,4.6,8,28,12.14116254,0.283003366
81,3,G2,166,GC1,top,Control,Control,Control_Control,C2B,5.95,7.68,13.63,6.98,8,21,10.8611252,0.403411141
82,3,G2,170,GC1,top,Drought,Drought,Drought_Drought,D13,8.11,5.55,13.66,6.92,10,22,18.45583,0.622686413
83,3,G2,171,GC1,top,Control,Drought,Drought_Control,D11,8.25,7.01,15.26,7.26,8,26,8.73381919,0.390760564
84,3,G2,173,GC1,top,Drought,Control,Control_Drought,C1B,6.03,5.41,11.44,2.31,7,21,16.17781407,0.706568466
85,3,G2,174,GC1,bottom,Drought,Control,Control_Drought,C2B,9.09,7.22,16.31,4.89,10,30,14.89853588,0.416928611
88,3,G2,183,GC1,bottom,Drought,Control,Control_Drought,C8,7.88,6.53,14.41,3.59,9,29,18.89701997,0.562401951
90,3,G2,185,GC1,bottom,Drought,Control,Control_Drought,C15,8.08,5.42,13.5,2.97,9,25,16.26296445,0.269215081
91,3,G2,186,GC1,bottom,Control,Control,Control_Control,C1B,8.06,8.42,16.48,6.06,7,18,16.56534819,0.450258205
96,3,G2,195,GC1,bottom,Drought,Drought,Drought_Drought,D5,8.62,6.41,15.03,2.49,8,21,15.45187399,0.323059213
101,3,G2,203,GC2,bottom,Control,Control,Control_Control,C8,4.88,5.97,10.85,6.21,8,26,18.80594531,0.707769697
102,3,G2,206,GC2,bottom,Control,Drought,Drought_Control,D10,3.26,5.9,9.16,7.48,6,19,13.92845984,0.39184977
103,3,G2,207,GC2,bottom,Control,Control,Control_Control,C15,7.71,6.16,13.87,4.09,10,26,16.27609432,0.276223073
104,3,G2,208,GC2,bottom,Drought,Drought,Drought_Drought,D11,3.53,6.29,9.82,5.3,8,18,17.10728117,0.25536122
106,3,G2,210,GC2,bottom,Control,Drought,Drought_Control,D13,5.25,5.52,10.77,6.33,7,11,15.08321825,0.268257776
